10133841250001040017469300066 MIB MOC CALCADOS EIRELI            MONTES CLAROS                 MG03832211622016100120161031331
11RUA DOUTOR SANTO                  00000                      CENTRO         39400001                            003832211622
5068403583000135310216036112  20161005SP015000871982102T000000030279200000003027920000000036336000000000000000000000000001200N
5061079117016443160082170     20161006PB0116 7370922102T000000010772400000001077240000000012925000000000000000000000000001200N
5094316999000983066954410     20161006CE017  0837072102T000000030017700000003001770000000036020000000000000000000000300061200N
5000465813000238069873739     20161007CE01   2490672102T000000016569800000001657020000000019878000000000000000000000000001200N
5000465813000238069873739     20161007CE01   2493312102T000000018828900000001882860000000022602000000000000000000000000001200N
5000465813000238069873739     20161007CE01   2493292102T000000004805200000000480510000000005769000000000000000000000000001200N
5059546515000487421085072118  20161010SP011  3739172102T000000012732900000001273290000000015277000000000000000000000000001200N
5094806957000173271072865     20161010SE011  8734692102T000000015412800000001541280000000018496000000000000000000000000001200N
50883797710016690860280586    20161014RS011  1388682102T000000009955400000000995520000000011952000000000000000000000000001200N
5015836348000190067075908     20161015CE011  0236192102T000000017737600000001773760000000021284000000000000000000000000001200N
500073365800010246724061      20161017BA013  4818622102T000000007972800000000797280000000009568000000000000000000000000001200N
5001998213000117310355987119  20161019SP011  0208272102T000000006120000000000612000000000007344000000000000000000000000001200N
5059546515000487421085072118  20161019SP011  3910172102T000000007751100000000775110000000009302000000000000000000000000001200N
5059546515000487421085072118  20161019SP011  3910182102T000000063863100000006386290000000076632000000000000000000000000001200N
5089850341000160069161135     20161022CE0111 1891172102T000000014646400000001464600000000017574000000000000000000000000001200N
50201618080001684520604770006 20161026MG011  0170641102T000000035133600000003513360000000000000000000000000000000000000000000N
50883797710016690860280586    20161027RS013  1441732102T000000010705000000001070470000000012844000000000000000000000000001200N
50883797710035211310130911    20161027RS013  2680572102T000000011633000000001163350000000013955000000000000000000000000001200N
50883797710036024000006753    20161027RS011  6244762102T000000015552800000001555220000000018659000000000000000000000000001200N
50883797710004250870059386    20161027RS011  7720972102T000000018462300000001846180000000022150000000000000000000000000001200N
5059546515000487421085072118  20161028SP011  4106452102T000000076813100000007681320000000092176000000000000000000000000001200N
5042274696002561298144017112  20161028SP011  3067042102T000000107203200000010720320000000128640000000000000000000000000001200N
5016616478000180103158075     20161028BA011  0020312102T000000014544000000001454400000000017456000000000000000000000000001200N
90133841250001040017469300066 500000002351000000005300000000540000000060000000006100000000700000000074000000007500000000     2
90133841250001040017469300066 9900000027                                                                                     2
